Target,Source
2382793933,80368161
133450999,80368161
405088825,80368161
1318408266,80368161
196214313,80368161
2264502764,2237937049
911750256,979128471459807232
90478743,587809387
3392889143,587809387
1318408266,587809387
513354952,587809387
90642026,587809387
278332728,587809387
20717303,587809387
2177958414,587809387
420318827,587809387
2264502764,587809387
3001828889,587809387
18745189,587809387
1118820366,587809387
1875808704,1387939524
1118820366,1387939524
373079416,1387939524
339722887,1387939524
1955376680,1387939524
169409323,1387939524
355338630,1387939524
911750256,1387939524
891627374,21411111
398180848,21411111
3001828889,21411111
1318408266,21411111
587809387,21411111
90642026,21411111
2264502764,21411111
1435923672,21411111
926554518,21411111
169409323,21411111
27972640,21411111
25128020,21411111
106769428,21411111
158037919,21411111
420318827,21411111
24729222,21411111
25126878,21411111
18745189,21411111
20717303,21411111
17265337,159951505
1496851160,159951505
140884754,159951505
231482702,159951505
781617508478513152,159951505
16454472,159951505
456348582,159951505
1969299078,159951505
18824923,159951505
1387939524,159951505
254947051,159951505
1948522831,159951505
987849932,159951505
131076855,159951505
33509773,159951505
46227488,159951505
613932425,159951505
302329916,159951505
918081511,159951505
20713213,159951505
16469647,159951505
995710778,159951505
2384860178,159951505
420318827,159951505
169409323,159951505
2444371909,159951505
623854000,159951505
16163217,159951505
911750256,159951505
445749337,159951505
1955376680,159951505
123717794,159951505
500378744,159951505
379212448,159951505
158037919,159951505
78734212,159951505
1201743792,159951505
1460016181,159951505
144202717,159951505
196214313,159951505
12819112,159951505
339722887,159951505
26682928,159951505
373079416,159951505
46152623,159951505
891627374,106769428
23450407,106769428
27972640,106769428
90642026,106769428
587809387,106769428
1283100218,106769428
3392889143,106769428
1318408266,106769428
3001828889,106769428
28028017,106769428
398180848,106769428
16552945,106769428
24729222,106769428
2264502764,106769428
1435923672,106769428
926554518,106769428
420318827,106769428
278332728,106769428
21411111,106769428
278134585,106769428
20717303,106769428
18745189,106769428
2382793933,272611562
240347448,272611562
445749337,2944178841
3188826024,2944178841
36248931,2944178841
1969299078,2944178841
93953552,2944178841
46227488,2944178841
12819112,452572233
46227488,16454472
17265337,16454472
339722887,16454472
500378744,16454472
144202717,16454472
1961211860,46227488
16454472,46227488
501854993,46227488
379212448,46227488
2944178841,46227488
68451113,46227488
196214313,46227488
420318827,46227488
995710778,46227488
1460016181,46227488
993360876,46227488
355338630,623854000
133450999,623854000
36248931,623854000
1969299078,623854000
513354952,623854000
46152623,623854000
379212448,623854000
12819112,623854000
911750256,623854000
46227488,623854000
373079416,623854000
339722887,623854000
1460016181,623854000
105778933,3939650128
16469647,11435772
20713213,11435772
613244494,105778933
847617447251197953,105778933
16596200,105778933
102340461,105778933
90478743,105778933
974059269325709312,105778933
989548977031925761,105778933
870389162276524033,105778933
305226081,105778933
791204519002705920,105778933
964245574932467712,105778933
969146357121503232,105778933
827200138984697856,105778933
2682241266,105778933
940911671123554307,105778933
922850345063256064,105778933
901512566928748546,105778933
484253151,105778933
888883784980058113,105778933
874620952750981120,105778933
582576323,105778933
2237755591,105778933
763543334,105778933
821802441184309249,105778933
2560498956,105778933
798210134275137536,105778933
51062572,105778933
717825399800143873,105778933
758339192531410945,105778933
796382688542265344,105778933
4374125355,105778933
69425160,105778933
21397817,105778933
196713458,105778933
122439256,105778933
4884782801,105778933
134068777,105778933
748655366959939585,105778933
2196119136,105778933
3916218915,105778933
1612526437,105778933
247860796,105778933
883412840,105778933
749181199998939136,105778933
340691121,105778933
2187451484,105778933
202933335,105778933
594797441,105778933
38410853,105778933
4831725513,105778933
2273147136,105778933
3537027383,105778933
2979703510,105778933
86536075,105778933
4923774562,105778933
709374273346015232,105778933
2789899536,105778933
700912365013852160,105778933
420388655,105778933
23719756,105778933
2174661258,105778933
4847631454,105778933
2367303485,105778933
1297482212,105778933
2750105810,105778933
102240014,105778933
4710648514,105778933
145377264,105778933
3098032240,105778933
3166036801,105778933
936662706,105778933
326388587,105778933
99363386,105778933
4221921854,105778933
34561847,105778933
302039567,105778933
44131530,105778933
2737664420,105778933
29494239,105778933
